"","splitweek1","splitweek2","end1","end2","BS_CET","EN_CET","BA_CET","QR_CET","CP_CET","CR_CET","EN_PTS","QR_PTS","CP_PTS","CR_PTS","CET_CP_quantile","PTS_CP_quantile","CET_CR_quantile","PTS_CR_quantile","CET_Lr","CET_La","CET_Ls","CET_Lb","CET_Ur","CET_Ua","CET_Us","CET_Ub","PTS_Lr","PTS_La","PTS_Ls","PTS_Lb","PTS_Ur","PTS_Ua","PTS_Us","PTS_Ub"
"11",60,40,20,40,0,0,0.876453488372093,0.777616279069767,0.0818798449612403,0.0818798449612403,0.0267983074753173,0.638565891472868,0.727228682170543,0.72577519379845,0.821566323065769,0.983204772796989,0.821675861756966,0.979847248522968,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"12",160,40,20,40,0,0,0.876453488372093,0.777616279069767,0.690406976744186,0.690406976744186,0.0267983074753173,0.715600775193798,0.729651162790698,0.730135658914729,0.916287753656345,0.991716394834302,0.917704599760695,0.991849339938865,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"13",20,40,40,40,0,0,0.876453488372093,0.939437984496124,0.745639534883721,0.942829457364341,0.0267983074753173,0.798934108527132,0.830426356589147,0.925387596899225,0.916287753656345,0.991716394834302,2.6579519718824,2.93367015797789,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
"14",60,40,40,40,0,0,0.876453488372093,0.778100775193798,0.0741279069767442,0.0736434108527132,0.0267983074753173,0.648255813953488,0.742248062015504,0.742248062015504,0.919736159872042,0.993201159699145,0.919395109169159,0.992493929596832,2.3,70,8e-06,100,0.01,3500,2,100,2.3,70,8e-06,100,0.01,3500,2,100
"15",160,40,40,40,0,0,0.876453488372093,0.777616279069767,0.684108527131783,0.727228682170543,0.0267983074753173,0.717054263565892,0.742248062015504,0.742732558139535,0.919736159872042,0.993201159699145,1.0417120918078,0.995506108377882,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"16",20,40,Inf,40,0,0,0.876453488372093,0.777616279069767,0.945251937984496,0.995639534883721,0.0267983074753173,0.788759689922481,0.92781007751938,0.987403100775194,0.919736159872042,0.993201159699145,2.84808376909012,2.96716282910871,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
"17",60,40,Inf,40,0,0,0.876453488372093,0.778100775193798,0.949127906976744,0.763565891472868,0.0267983074753173,0.822674418604651,0.911337209302326,0.821705426356589,0.919736159872042,0.993201159699145,1.39772016744423,1.16049923422179,2.3,80,8e-06,100,0.01,3500,2,100,2.3,80,8e-06,100,0.01,3500,2,100
"18",160,40,Inf,40,0,0,0.876453488372093,0.939437984496124,0.753391472868217,0.753875968992248,0.0267983074753173,0.800387596899225,0.753875968992248,0.753391472868217,1.37478445405385,1.06496392097932,1.37789901406033,1.06071365326493,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
"19",20,40,20,Inf,0,0,0.750968992248062,0.961240310077519,0.0290697674418605,0.0290697674418605,0.0267983074753173,0.604166666666667,0.64437984496124,0.64437984496124,0.588411185379812,0.378877521446289,0.591088486639618,0.377171257268766,3.5,70,8e-06,100,0.01,3500,2,100,3.5,70,8e-06,100,0.01,3500,2,100
"20",60,40,20,Inf,0,0,0.750968992248062,0.905038759689923,0.116279069767442,0.116279069767442,0.0267983074753173,0.553779069767442,0.609496124031008,0.608527131782946,0.821734938416583,0.982690042044329,0.821642852669952,0.981072683582486,2.3,90,8e-06,100,0.01,3500,2,100,2.3,90,8e-06,100,0.01,3500,2,100
