"","Var1","Var2","Var3","Var4","CET_CP_perf","PTS_CP_perf","CET_QR_perf","PTS_QR_perf","CET_quantile","PTS_quantile","CET_Lr","CET_La","CET_Ls","CET_Lb","CET_Ur","CET_Ua","CET_Us","CET_Ub","PTS_Lr","PTS_La","PTS_Ls","PTS_Lb","PTS_Ur","PTS_Ua","PTS_Us","PTS_Ub"
"6",80,50,0,0,0.875502008032129,0.91566265060241,0.975903614457831,0.875502008032129,2.409813584924,1.55990675790056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"54",80,50,0,20,0.975903614457831,0.963855421686747,0.923694779116466,0.887550200803213,2.409813584924,1.55990675790056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"102",80,50,0,40,0.963855421686747,0.951807228915663,0.93574297188755,0.8714859437751,2.409813584924,1.55990675790056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"10",80,80,0,0,0.923694779116466,0.951807228915663,0.91566265060241,0.879518072289157,2.409813584924,1.55990675790056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"58",80,80,0,20,0.975903614457831,0.983935742971888,0.891566265060241,0.883534136546185,2.409813584924,1.55990675790056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"106",80,80,0,40,0.959839357429719,0.963855421686747,0.919678714859438,0.863453815261044,2.409813584924,1.55990675790056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"14",80,100,0,0,0.943775100401606,0.971887550200803,0.91566265060241,0.859437751004016,2.409813584924,1.55990675790056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"62",80,100,0,20,0.971887550200803,0.987951807228916,0.887550200803213,0.863453815261044,2.409813584924,1.55990675790056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"110",80,100,0,40,0.951807228915663,0.979919678714859,0.899598393574297,0.85140562248996,2.409813584924,1.55990675790056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"18",80,15,20,0,0.586345381526104,0.654618473895582,0.959839357429719,0.947791164658635,1.2549239249891,1.01509693492839,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"66",80,15,20,20,0.875502008032129,0.883534136546185,0.903614457831325,0.919678714859438,1.2549239249891,1.01509693492839,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"114",80,15,20,40,0.791164658634538,0.799196787148594,0.899598393574297,0.899598393574297,1.2549239249891,1.01509693492839,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"22",80,50,20,0,0.763052208835341,0.839357429718876,0.939759036144578,0.903614457831325,1.2549239249891,1.01509693492839,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"70",80,50,20,20,0.931726907630522,0.943775100401606,0.91566265060241,0.891566265060241,1.2549239249891,1.01509693492839,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"118",80,50,20,40,0.875502008032129,0.895582329317269,0.93574297188755,0.895582329317269,1.2549239249891,1.01509693492839,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"26",80,80,20,0,0.823293172690763,0.867469879518072,0.891566265060241,0.903614457831325,1.2549239249891,1.01509693492839,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"74",80,80,20,20,0.903614457831325,0.931726907630522,0.891566265060241,0.899598393574297,1.2549239249891,1.01509693492839,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"122",80,80,20,40,0.855421686746988,0.911646586345382,0.875502008032129,0.8714859437751,1.2549239249891,1.01509693492839,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"30",80,100,20,0,0.867469879518072,0.895582329317269,0.867469879518072,0.8714859437751,1.2549239249891,1.01509693492839,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"78",80,100,20,20,0.907630522088353,0.927710843373494,0.887550200803213,0.867469879518072,1.2549239249891,1.01509693492839,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"126",80,100,20,40,0.891566265060241,0.911646586345382,0.863453815261044,0.863453815261044,1.2549239249891,1.01509693492839,2.6,50,8e-06,100,0.01,3500,2,100,2.6,50,8e-06,100,0.01,3500,2,100
"34",80,15,40,0,0.594377510040161,0.694779116465863,0.983935742971888,0.943775100401606,2.06213064821822,1.62636836219846,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"82",80,15,40,20,0.883534136546185,0.903614457831325,0.955823293172691,0.91566265060241,2.06213064821822,1.62636836219846,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"130",80,15,40,40,0.795180722891566,0.823293172690763,0.951807228915663,0.899598393574297,2.06213064821822,1.62636836219846,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"38",80,50,40,0,0.775100401606426,0.867469879518072,0.975903614457831,0.875502008032129,2.06213064821822,1.62636836219846,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"86",80,50,40,20,0.939759036144578,0.951807228915663,0.923694779116466,0.887550200803213,2.06213064821822,1.62636836219846,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"134",80,50,40,40,0.879518072289157,0.911646586345382,0.93574297188755,0.8714859437751,2.06213064821822,1.62636836219846,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"42",80,80,40,0,0.835341365461847,0.907630522088353,0.91566265060241,0.879518072289157,2.06213064821822,1.62636836219846,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"90",80,80,40,20,0.923694779116466,0.959839357429719,0.891566265060241,0.883534136546185,2.06213064821822,1.62636836219846,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"138",80,80,40,40,0.883534136546185,0.931726907630522,0.919678714859438,0.863453815261044,2.06213064821822,1.62636836219846,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"46",80,100,40,0,0.875502008032129,0.931726907630522,0.91566265060241,0.859437751004016,2.06213064821822,1.62636836219846,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"94",80,100,40,20,0.931726907630522,0.955823293172691,0.887550200803213,0.863453815261044,2.06213064821822,1.62636836219846,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"142",80,100,40,40,0.895582329317269,0.943775100401606,0.899598393574297,0.85140562248996,2.06213064821822,1.62636836219846,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"3",120,15,0,0,0.606425702811245,0.791164658634538,0.967871485943775,0.947791164658635,2.27079236400438,1.31262788133155,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"51",120,15,0,20,0.887550200803213,0.931726907630522,0.903614457831325,0.919678714859438,2.27079236400438,1.31262788133155,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"99",120,15,0,40,0.795180722891566,0.875502008032129,0.899598393574297,0.899598393574297,2.27079236400438,1.31262788133155,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"7",120,50,0,0,0.875502008032129,0.907630522088353,0.975903614457831,0.903614457831325,2.27079236400438,1.31262788133155,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"55",120,50,0,20,0.943775100401606,0.963855421686747,0.923694779116466,0.891566265060241,2.27079236400438,1.31262788133155,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"103",120,50,0,40,0.887550200803213,0.947791164658635,0.93574297188755,0.895582329317269,2.27079236400438,1.31262788133155,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"11",120,80,0,0,0.835341365461847,0.943775100401606,0.91566265060241,0.903614457831325,2.27079236400438,1.31262788133155,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
"59",120,80,0,20,0.927710843373494,0.979919678714859,0.891566265060241,0.899598393574297,2.27079236400438,1.31262788133155,3.2,50,8e-06,100,0.01,3500,2,100,3.2,50,8e-06,100,0.01,3500,2,100
