"","Var1","Var2","Var3","Var4","CET_CP_perf","PTS_CP_perf","CET_QR_perf","PTS_QR_perf","CET_quantile","PTS_quantile","CET_Lr","CET_La","CET_Ls","CET_Lb","CET_Ur","CET_Ua","CET_Us","CET_Ub","PTS_Lr","PTS_La","PTS_Ls","PTS_Lb","PTS_Ur","PTS_Ua","PTS_Us","PTS_Ub"
"74",180,180,20,20,0.92972972972973,0.867567567567568,0.959459459459459,0.937837837837838,0.973363009437846,0.99298155537313,0.01,50,2,100,0.01,3500,2,100,0.01,50,2,100,0.01,3500,2,100
"122",180,180,20,40,0.678378378378378,0.675675675675676,0.816216216216216,0.794594594594595,0.973363009437846,0.99298155537313,0.01,50,2,100,0.01,3500,2,100,0.01,50,2,100,0.01,3500,2,100
"30",180,210,20,0,0.697297297297297,0.651351351351351,0.862162162162162,0.791891891891892,0.973363009437846,0.99298155537313,0.01,50,2,100,0.01,3500,2,100,0.01,50,2,100,0.01,3500,2,100
"78",180,210,20,20,0.92972972972973,0.832432432432432,0.97027027027027,0.92972972972973,0.973363009437846,0.99298155537313,0.01,50,2,100,0.01,3500,2,100,0.01,50,2,100,0.01,3500,2,100
"126",180,210,20,40,0.718918918918919,0.708108108108108,0.951351351351351,0.859459459459459,0.973363009437846,0.99298155537313,0.01,50,2,100,0.01,3500,2,100,0.01,50,2,100,0.01,3500,2,100
"34",180,110,40,0,0.916216216216216,0.964864864864865,0.954054054054054,0.897297297297297,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"82",180,110,40,20,0.967567567567568,0.356756756756757,0.962162162162162,0.956756756756757,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"130",180,110,40,40,0.967567567567568,0.983783783783784,0.956756756756757,0.92972972972973,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"38",180,130,40,0,0.913513513513514,0.943243243243243,0.945945945945946,0.864864864864865,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"86",180,130,40,20,0.967567567567568,0.305405405405405,0.962162162162162,0.967567567567568,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"134",180,130,40,40,0.916216216216216,0.891891891891892,0.87027027027027,0.864864864864865,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"42",180,180,40,0,0.894594594594595,0.913513513513514,0.908108108108108,0.837837837837838,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"90",180,180,40,20,0.964864864864865,0.327027027027027,0.962162162162162,0.954054054054054,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"138",180,180,40,40,0.9,0.427027027027027,0.856756756756757,0.827027027027027,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"46",180,210,40,0,0.951351351351351,0.932432432432432,0.905405405405405,0.840540540540541,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"94",180,210,40,20,0.978378378378378,0.313513513513514,0.972972972972973,0.932432432432432,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"142",180,210,40,40,0.975675675675676,0.47027027027027,0.964864864864865,0.872972972972973,1.92242886476978,1.80059128435945,2.9,50,8e-06,100,0.01,3500,2,100,2.9,50,8e-06,100,0.01,3500,2,100
"3",210,110,0,0,0.832432432432432,0.921621621621622,0.972972972972973,0.935135135135135,1.61976867661451,1.4049846690234,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"51",210,110,0,20,0.967567567567568,1,0.962162162162162,0.972972972972973,1.61976867661451,1.4049846690234,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"99",210,110,0,40,0.967567567567568,0.994594594594595,0.967567567567568,0.964864864864865,1.61976867661451,1.4049846690234,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"7",210,130,0,0,0.875675675675676,0.902702702702703,0.956756756756757,0.894594594594595,1.61976867661451,1.4049846690234,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"55",210,130,0,20,0.967567567567568,0.994594594594595,0.962162162162162,0.975675675675676,1.61976867661451,1.4049846690234,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"103",210,130,0,40,0.910810810810811,0.935135135135135,0.87027027027027,0.875675675675676,1.61976867661451,1.4049846690234,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"11",210,180,0,0,0.867567567567568,0.908108108108108,0.910810810810811,0.867567567567568,1.61976867661451,1.4049846690234,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"59",210,180,0,20,0.964864864864865,0.994594594594595,0.962162162162162,0.964864864864865,1.61976867661451,1.4049846690234,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"107",210,180,0,40,0.897297297297297,0.927027027027027,0.856756756756757,0.854054054054054,1.61976867661451,1.4049846690234,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"15",210,210,0,0,0.940540540540541,0.951351351351351,0.916216216216216,0.875675675675676,1.61976867661451,1.4049846690234,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"63",210,210,0,20,0.978378378378378,0.989189189189189,0.972972972972973,0.951351351351351,1.61976867661451,1.4049846690234,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"111",210,210,0,40,0.975675675675676,0.983783783783784,0.964864864864865,0.913513513513514,1.61976867661451,1.4049846690234,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
