;Var1;Var2;Var3;Var4;CET_CP_perf;PTS_CP_perf;CET_CP_perf_B2;PTS_CP_perf_B2;CET_QR_perf;PTS_QR_perf;CET_quantile;PTS_quantile;CET_quantile_B2;PTS_quantile_B2;CET_Lr;CET_La;CET_Ls;CET_Lb;CET_Ur;CET_Ua;CET_Us;CET_Ub;PTS_Lr;PTS_La;PTS_Ls;PTS_Lb;PTS_Ur;PTS_Ua;PTS_Us;PTS_Ub
18;80;15;20;0;0.594306823;0.684485007;0.594306823;0.643633203;0.984789222;0.866579748;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
66;80;15;20;20;0.880486745;0.916775315;0.880921339;0.877444589;0.969361147;0.913733159;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
114;80;15;20;40;0.780747501;0.840721425;0.781182095;0.797044763;0.969361147;0.885484572;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
22;80;50;20;0;0.679269883;0.809865276;0.679269883;0.700130378;0.960669274;0.77053455;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
70;80;50;20;20;0.894393742;0.926119079;0.895045632;0.876358105;0.907866145;0.876575402;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
118;80;50;20;40;0.792916123;0.891134289;0.794871795;0.795089092;0.939156888;0.833116037;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
26;80;80;20;0;0.719904389;0.860712734;0.722077358;0.730334637;0.925467188;0.768796176;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
74;80;80;20;20;0.904172099;0.944806606;0.905258583;0.899174272;0.91851369;0.875706215;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
122;80;80;20;40;0.808126901;0.897870491;0.809647979;0.812255541;0.929378531;0.807692308;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
30;80;100;20;0;0.791177749;0.890265102;0.791829639;0.793785311;0.920686658;0.788787484;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
78;80;100;20;20;0.88700565;0.926119079;0.887222947;0.887440243;0.891134289;0.853107345;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
126;80;100;20;40;0.833985224;0.905910474;0.837896567;0.826814429;0.899391569;0.809647979;0.993999027;0.860650861;0.996150655;0.996150655;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
34;80;15;40;0;0.646240765;0.817687962;0.685136897;0.714689266;0.984789222;0.946979574;3.205062537;1.074722485;3.395112857;3.395112857;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
82;80;15;40;20;0.911777488;0.965884398;0.913515863;0.927640156;0.969361147;0.932637983;3.205062537;1.074722485;3.395112857;3.395112857;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
130;80;15;40;40;0.828118209;0.925467188;0.830291178;0.858322468;0.969361147;0.924815298;3.205062537;1.074722485;3.395112857;3.395112857;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
38;80;50;40;0;0.875923512;0.905041286;0.880486745;0.816384181;0.960669274;0.918730987;3.205062537;1.074722485;3.395112857;3.395112857;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
86;80;50;40;20;0.929813125;0.966970882;0.930899609;0.933072577;0.907866145;0.916123425;3.205062537;1.074722485;3.395112857;3.395112857;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
