;Var1;Var2;Var3;Var4;CET_CP_perf;PTS_CP_perf;CET_CP_perf_B2;PTS_CP_perf_B2;CET_QR_perf;PTS_QR_perf;CET_quantile;PTS_quantile;CET_quantile_B2;PTS_quantile_B2;CET_Lr;CET_La;CET_Ls;CET_Lb;CET_Ur;CET_Ua;CET_Us;CET_Ub;PTS_Lr;PTS_La;PTS_Ls;PTS_Lb;PTS_Ur;PTS_Ua;PTS_Us;PTS_Ub
71;210;130;20;20;0.967907068;0.978145304;0.971647962;0.971451073;0.963181729;0.943492814;1.43911837;0.803034171;1.577459653;1.577459653;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
119;210;130;20;40;0.894861193;0.896239417;0.916715889;0.859027368;0.871825162;0.773183698;1.43911837;0.803034171;1.577459653;1.577459653;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
27;210;180;20;0;0.924000788;0.920850561;0.925379012;0.864934042;0.933451467;0.723173853;1.43911837;0.803034171;1.577459653;1.577459653;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
75;210;180;20;20;0.977554637;0.981886198;0.978145304;0.974798189;0.96987596;0.93502658;1.43911837;0.803034171;1.577459653;1.577459653;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
123;210;180;20;40;0.917897224;0.915731443;0.922622563;0.878716283;0.882063398;0.792675724;1.43911837;0.803034171;1.577459653;1.577459653;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
31;210;210;20;0;0.903524316;0.905099429;0.910612325;0.875172278;0.89328608;0.77259303;1.43911837;0.803034171;1.577459653;1.577459653;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
79;210;210;20;20;0.915337665;0.926757236;0.916322111;0.916125222;0.905493207;0.873400276;1.43911837;0.803034171;1.577459653;1.577459653;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
127;210;210;20;40;0.929907462;0.937979917;0.936011026;0.916125222;0.905886986;0.82831266;1.43911837;0.803034171;1.577459653;1.577459653;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
35;210;110;40;0;0.854105139;0.913762552;0.703484938;0.822799764;0.974995078;0.924197677;1.090030402;0.993917336;1.042957821;1.042957821;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
83;210;110;40;20;0.955503052;0.971254184;0.954321717;0.964953731;0.955306163;0.957078165;1.090030402;0.993917336;1.042957821;1.042957821;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
131;210;110;40;40;0.949793266;0.966725733;0.927741681;0.93975192;0.968103957;0.947824375;1.090030402;0.993917336;1.042957821;1.042957821;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
39;210;130;40;0;0.834219335;0.878716283;0.655640874;0.811577082;0.957865722;0.902146092;1.090030402;0.993917336;1.042957821;1.042957821;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
87;210;130;40;20;0.963575507;0.973813743;0.96278795;0.968300847;0.963181729;0.967710179;1.090030402;0.993917336;1.042957821;1.042957821;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
135;210;130;40;40;0.863752707;0.868281158;0.819255759;0.853120693;0.916322111;0.871431384;1.090030402;0.993917336;1.042957821;1.042957821;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
43;210;180;40;0;0.884426068;0.889938964;0.829887773;0.840913566;0.94428037;0.88403229;1.090030402;0.993917336;1.042957821;1.042957821;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
91;210;180;40;20;0.971254184;0.977751526;0.970269738;0.971057295;0.970663516;0.960425281;1.090030402;0.993917336;1.042957821;1.042957821;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
139;210;180;40;40;0.882457177;0.889348297;0.872612719;0.87241583;0.883047844;0.866706044;1.090030402;0.993917336;1.042957821;1.042957821;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
47;210;210;40;0;0.868674936;0.885410514;0.850167356;0.866312266;0.896042528;0.869265603;1.090030402;0.993917336;1.042957821;1.042957821;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
95;210;210;40;20;0.907658988;0.91888167;0.907658988;0.914550108;0.905493207;0.898208309;1.090030402;0.993917336;1.042957821;1.042957821;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
143;210;210;40;40;0.905493207;0.923607009;0.898208309;0.907658988;0.922031896;0.89328608;1.090030402;0.993917336;1.042957821;1.042957821;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
4;230;110;0;0;0.899192754;0.927741681;0.92104745;0.924591455;0.974995078;0.915928332;1.354603342;1.145914801;1.446177772;1.446177772;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
